Id,SurfaceArea,NumRooms,Type,Address,Description,Rent,Bookmark,Link
4939726.0,18.0,,single-room,"Chemin de Montolivet 19, 1006 Lausanne, VD",1006 Lausanne - Montolivet 19 - Chambre meublée n° 214,860.0,,/en/d/single-room-rent-lausanne/4939726?s=2&t=1&l=2023&ct=615&ci=17&pn=1
5085420.0,29.0,,flat,"Ch. du Devin 64, 1012 Lausanne, VD",Grand studio au calme,940.0,,/en/d/flat-rent-lausanne/5085420?s=2&t=1&l=2023&ct=615&ci=18&pn=1
5234626.0,33.0,,studio,"Chemin de Boston 9B, 1004 Lausanne, VD",Spacieux et fonctionnel,1030.0,,/en/d/studio-rent-lausanne/5234626?s=2&t=1&l=2023&ct=615&ci=19&pn=1
5189187.0,14.0,,furnished-residential-property,"Avenue de Menthon 16, 1005 Lausanne, VD",Avenue de Menthon 16 à 1005 Lausanne,1050.0,,/en/d/furnished-residential-property-rent-lausanne/5189187?s=2&t=1&l=2023&ct=615&ci=20&pn=1
5097804.0,21.0,,furnished-residential-property,"Chemin de Montolivet 19, 1006 Lausanne, VD",1006 Lausanne - Ch. de Montolivet 19,1060.0,,/en/d/furnished-residential-property-rent-lausanne/5097804?s=2&t=1&l=2023&ct=615&ci=21&pn=1
5136126.0,45.0,1.5,flat,"Chemin du Calvaire 17, 1005 Lausanne, VD",Près du CHUV er métro ! Endroit central et calme!,1090.0,,/en/d/flat-rent-lausanne/5136126?s=2&t=1&l=2023&ct=615&ci=22&pn=1
5288089.0,42.0,2.0,flat,"Av. de Tivoli 19Bis, 1007 Lausanne, VD","Appartement, 2.0 pièce(s)",1095.0,New,"/en/d/flat-rent-s)»lausanne/5288089?s=2&t=1&l=2023&ct=615&ci=23&pn=1## «Appartement, 2.0 pièce(s"
5282677.0,26.0,,flat,"Avenue de Valmont 7, 1010 Lausanne, VD",Moderne et lumineux - Idéal pour célibataires et / ou pendulaires,1130.0,,/en/d/flat-rent-lausanne/5282677?s=2&t=1&l=2023&ct=615&ci=24&pn=1
5267201.0,46.0,2.0,flat,"Chemin du Devin 31B, 1012 Lausanne, VD",Appartement de 2 pièces au 1er étage,1150.0,,/en/d/flat-rent-lausanne/5267201?s=2&t=1&l=2023&ct=615&ci=25&pn=2
4496396.0,28.0,,studio,"Chemin du Calvaire 17, 1005 Lausanne, VD",Près du CHUV et métro! Studio charmant à louer!,1155.0,,/en/d/studio-rent-lausanne/4496396?s=2&t=1&l=2023&ct=615&ci=26&pn=2
4742198.0,24.0,,studio,"Avenue de Morges 72bis, 1004 Lausanne, VD",Studio au 3ème étgae,1155.0,,/en/d/studio-rent-lausanne/4742198?s=2&t=1&l=2023&ct=615&ci=27&pn=2
5195763.0,37.0,,studio,"Avenue de Valmont 12, 1010 Lausanne, VD",Quartier verdoyant,1160.0,,/en/d/studio-rent-lausanne/5195763?s=2&t=1&l=2023&ct=615&ci=28&pn=2
